RegioNaam,RegioCode,Amsterdamsecode,Partij,AantalZetels,Website,Facebook,Engine,Feed,Full_content
"Eindhoven","G0772","11298","Brede Beweging LinksOm (BBL)","","http://bbl040.nl/","https://www.facebook.com/BredeBewegingLinksOm/","wordpress","http://bbl040.nl/feed/",true
"Eindhoven","G0772","11298","Forum 0veertig","",,"https://www.facebook.com/Eindhovensforum/",,,
"Eindhoven","G0772","11298","Stratums Belang","",,,,,
"Elburg","G0230","11113","Algemeen Belang","4","http://www.algemeenbelangelburg.nl/","https://www.facebook.com/algemeenbelangelburg","powered","http://www.algemeenbelangelburg.nl/feed/",false
"Elburg","G0230","11113","Elburg Beleid","2",,"https://www.facebook.com/elburg.beleid.17/",,,
"Emmen","G0114","11180","Wakker Emmen","11","http://www.wakkeremmen.nl/","https://www.facebook.com/WakkerEmmen/",,,
"Emmen","G0114","11180","LEF!","2","https://lef-emmen.nl/","https://www.facebook.com/LEFEmmen/","powered","https://lef-emmen.nl/feed/",true
"Emmen","G0114","11180","Drentse Ouderen Partij (DOP)","","http://www.drentseouderenpartij.nl/","https://www.facebook.com/dopemmen/",,,
"Emmen","G0114","11180","Jongeren Aan Zet!","",,"https://www.facebook.com/StemJongerenAanZet/",,,
"Emmen","G0114","11180","Senioren Belang Noord","","http://www.seniorenbelangnoord.nl/",,"incomedia",,
"Enkhuizen","G0388","10729","Nieuw Enkhuizen","2","https://www.nieuwenkhuizen.nl/","https://www.facebook.com/NieuwEnkhuizen/",,,
"Enkhuizen","G0388","10729","ChristenUnie-SGP","1","https://enkhuizen.christenunie.nl/","https://www.facebook.com/Christenuniesgpenkhuizen/posts","procurios","https://enkhuizen.christenunie.nl/l/rss/collect/news/63543.6049",true
"Enkhuizen","G0388","10729","Het Enkhuizer Alternatief","1","https://www.heaenkhuizen.nl/","https://www.facebook.com/hetenkhuizeralternatief/","divi","https://www.heaenkhuizen.nl/feed/",false
"Enkhuizen","G0388","10729","Voor Enkhuizen","1","http://www.enkhuizenvooruit.nl/","https://www.facebook.com/EnkhuizenVooruit/",,"http://www.enkhuizenvooruit.nl/feed/rss2",false
"Enschede","G0153","10364","Burgerbelangen Enschede (BBE)","7","https://burgerbelangen-enschede.nl/","https://www.facebook.com/burgerbelangen.enschede/posts","wordpress",,
"Enschede","G0153","10364","Democratisch Platform Enschede","1",,"https://www.facebook.com/DPEnschede/",,,
"Enschede","G0153","10364","EnschedeAnders.nl","1","http://www.enschedeanders.nl/","https://www.facebook.com/enschedeanders/","wordpress","http://www.enschedeanders.nl/feed/",false
"Enschede","G0153","10364","Liberaal053","","http://www.liberaal053.nl/",,"wordpress","http://www.liberaal053.nl/feed/",true
"Enschede","G0153","10364","OPA","","http://www.opabeweging.nl/",,,,
"Epe","G0232","10940","Nieuwe Lijn","6","https://www.nieuwelijn.nl/","https://www.facebook.com/nieuwelijnvaassen/","wordpress",,
"Epe","G0232","10940","SGP-ChristenUnie","3","https://epe.sgp.nl/","https://www.facebook.com/ChristenUnieEpe/",,,
